method,params,val_accuracy,test_accuracy
NeuralNet,"{'n_hidden': 329, 'n_layers': 1, 'learning_rate': 0.07656911415245042, 'dropout_prob': 0.5581100947678923, 'n_epochs': 28, 'batch_size': 117, 'weight_positives': True}",0.5190499609454103,0.4897484413288253
NeuralNet,"{'n_hidden': 167, 'n_layers': 1, 'learning_rate': 0.025563301227559936, 'dropout_prob': 0.23384694741626016, 'n_epochs': 95, 'batch_size': 158, 'weight_positives': True}",0.5875546041021784,0.5028381773628214
NeuralNet,"{'n_hidden': 167, 'n_layers': 1, 'learning_rate': 0.025563301227559936, 'dropout_prob': 0.23384694741626016, 'n_epochs': 95, 'batch_size': 158, 'weight_positives': True}",0.5784707958457488,0.5748317255497999
NeuralNet,"{'n_hidden': 167, 'n_layers': 1, 'learning_rate': 0.025563301227559936, 'dropout_prob': 0.23384694741626016, 'n_epochs': 95, 'batch_size': 158, 'weight_positives': True}",0.6275349321607313,0.5526846366202425
NeuralNet,"{'n_hidden': 397, 'n_layers': 2, 'learning_rate': 0.018301500317047924, 'dropout_prob': 0.20423978313183044, 'n_epochs': 62, 'batch_size': 53, 'weight_positives': True}",0.5538808690369427,0.5443717236886999
NeuralNet,"{'n_hidden': 397, 'n_layers': 2, 'learning_rate': 0.018301500317047924, 'dropout_prob': 0.20423978313183044, 'n_epochs': 62, 'batch_size': 53, 'weight_positives': True}",0.6074001215031677,0.5633239244393435
NeuralNet,"{'n_hidden': 397, 'n_layers': 2, 'learning_rate': 0.018301500317047924, 'dropout_prob': 0.20423978313183044, 'n_epochs': 62, 'batch_size': 53, 'weight_positives': True}",0.5900425261087162,0.4872359564502621
NeuralNet,"{'n_hidden': 66, 'n_layers': 3, 'learning_rate': 0.0007261297093317894, 'dropout_prob': 0.2543638607196925, 'n_epochs': 51, 'batch_size': 143, 'weight_positives': False}",0.715219718228368,0.684574583578895
NeuralNet,"{'n_hidden': 66, 'n_layers': 3, 'learning_rate': 0.0007261297093317894, 'dropout_prob': 0.2543638607196925, 'n_epochs': 51, 'batch_size': 143, 'weight_positives': False}",0.704168715827234,0.6900027916498651
NeuralNet,"{'n_hidden': 66, 'n_layers': 3, 'learning_rate': 0.0007261297093317894, 'dropout_prob': 0.2543638607196925, 'n_epochs': 51, 'batch_size': 143, 'weight_positives': False}",0.6844389157288744,0.6515710785073977
NeuralNet,"{'n_hidden': 213, 'n_layers': 3, 'learning_rate': 0.03284257338249057, 'dropout_prob': 0.4702995511817259, 'n_epochs': 95, 'batch_size': 52, 'weight_positives': False}",0.5488182370468945,0.568069729209963
