method,params,val_accuracy,test_accuracy
NeuralNet,"{'n_hidden': 213, 'n_layers': 3, 'learning_rate': 0.03284257338249057, 'dropout_prob': 0.4702995511817259, 'n_epochs': 95, 'batch_size': 52}",0.5488182370468945,0.583020565154006
NeuralNet,"{'n_hidden': 185, 'n_layers': 1, 'learning_rate': 0.0007146104046001492, 'dropout_prob': 0.3446152796156071, 'n_epochs': 69, 'batch_size': 152}",0.6873318482946162,0.6569992865783678
NeuralNet,"{'n_hidden': 185, 'n_layers': 1, 'learning_rate': 0.0007146104046001492, 'dropout_prob': 0.3446152796156071, 'n_epochs': 69, 'batch_size': 152}",0.7217288165012872,0.7072800024814665
NeuralNet,"{'n_hidden': 185, 'n_layers': 1, 'learning_rate': 0.0007146104046001492, 'dropout_prob': 0.3446152796156071, 'n_epochs': 69, 'batch_size': 152}",0.6866086151531807,0.7088309190731722
NeuralNet,"{'n_hidden': 111, 'n_layers': 2, 'learning_rate': 0.0004721563364927971, 'dropout_prob': 0.6532168461905916, 'n_epochs': 37, 'batch_size': 114}",0.6778141001533254,0.5848816650640528
NeuralNet,"{'n_hidden': 111, 'n_layers': 2, 'learning_rate': 0.0004721563364927971, 'dropout_prob': 0.6532168461905916, 'n_epochs': 37, 'batch_size': 114}",0.6880550814360517,0.6830236669871894
NeuralNet,"{'n_hidden': 111, 'n_layers': 2, 'learning_rate': 0.0004721563364927971, 'dropout_prob': 0.6532168461905916, 'n_epochs': 37, 'batch_size': 114}",0.6365898110915034,0.6167685101895221
NeuralNet,"{'n_hidden': 61, 'n_layers': 3, 'learning_rate': 0.004609215871330523, 'dropout_prob': 0.4370901416010888, 'n_epochs': 78, 'batch_size': 189}",0.7481702201521683,0.6861255001706007
NeuralNet,"{'n_hidden': 61, 'n_layers': 3, 'learning_rate': 0.004609215871330523, 'dropout_prob': 0.4370901416010888, 'n_epochs': 78, 'batch_size': 189}",0.7284404200538085,0.7160271720586866
NeuralNet,"{'n_hidden': 61, 'n_layers': 3, 'learning_rate': 0.004609215871330523, 'dropout_prob': 0.4370901416010888, 'n_epochs': 78, 'batch_size': 189}",0.7277171869123731,0.6971990446353795
NeuralNet,"{'n_hidden': 250, 'n_layers': 2, 'learning_rate': 0.3592084025571018, 'dropout_prob': 0.706720309206891, 'n_epochs': 63, 'batch_size': 162}",0.683715682587439,0.6546729116908092
NeuralNet,"{'n_hidden': 250, 'n_layers': 2, 'learning_rate': 0.3592084025571018, 'dropout_prob': 0.706720309206891, 'n_epochs': 63, 'batch_size': 162}",0.5810455058292592,0.5507925183783616
NeuralNet,"{'n_hidden': 250, 'n_layers': 2, 'learning_rate': 0.3592084025571018, 'dropout_prob': 0.706720309206891, 'n_epochs': 63, 'batch_size': 162}",0.7034454826857985,0.6931046248332764
NeuralNet,"{'n_hidden': 388, 'n_layers': 2, 'learning_rate': 0.0010493314645539326, 'dropout_prob': 0.3777641034224495, 'n_epochs': 21, 'batch_size': 75}",0.6822692163045679,0.6861255001706008
NeuralNet,"{'n_hidden': 388, 'n_layers': 2, 'learning_rate': 0.0010493314645539326, 'dropout_prob': 0.3777641034224495, 'n_epochs': 21, 'batch_size': 75}",0.7409378887378134,0.6964235863395266
NeuralNet,"{'n_hidden': 388, 'n_layers': 2, 'learning_rate': 0.0010493314645539326, 'dropout_prob': 0.3777641034224495, 'n_epochs': 21, 'batch_size': 75}",0.7212080886394537,0.6620862929991624
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.0001, 'dropout_prob': 0.8, 'n_epochs': 20, 'batch_size': 200}",0.5004773338733474,0.5492416017866559
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.0001, 'dropout_prob': 0.8, 'n_epochs': 20, 'batch_size': 200}",0.5004773338733474,0.5335153075467601
NeuralNet,"{'n_hidden': 400, 'n_layers': 3, 'learning_rate': 0.0001, 'dropout_prob': 0.8, 'n_epochs': 20, 'batch_size': 200}",0.5004773338733474,0.5335153075467601
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.8, 'n_epochs': 20, 'batch_size': 162}",0.7525964069777533,0.6831167219826917
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.8, 'n_epochs': 20, 'batch_size': 162}",0.6943327451037116,0.6229721765563447
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.8, 'n_epochs': 20, 'batch_size': 162}",0.6974281829490554,0.6028102608641706
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 107}",0.6565510457951225,0.6797047054809392
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 107}",0.7202823502184164,0.7111572939607307
NeuralNet,"{'n_hidden': 400, 'n_layers': 1, 'learning_rate': 0.0001, 'dropout_prob': 0.2, 'n_epochs': 100, 'batch_size': 107}",0.7173894176526745,0.7065045441856136
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.8, 'n_epochs': 100, 'batch_size': 163}",0.7066277085081146,0.6635131362635317
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.8, 'n_epochs': 100, 'batch_size': 163}",0.702375097636474,0.5960482645243338
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.8, 'n_epochs': 100, 'batch_size': 163}",0.7205716434749906,0.6998356028412791
NeuralNet,"{'n_hidden': 140, 'n_layers': 2, 'learning_rate': 0.00011770452515814489, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 200}",0.7269939537709377,0.7121498805794223
NeuralNet,"{'n_hidden': 140, 'n_layers': 2, 'learning_rate': 0.00011770452515814489, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 200}",0.7159429513698035,0.6822482086913365
NeuralNet,"{'n_hidden': 140, 'n_layers': 2, 'learning_rate': 0.00011770452515814489, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 200}",0.6858853820117452,0.6735010391141164
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 175}",0.5004773338733474,0.5335153075467601
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 175}",0.5004773338733474,0.5335153075467601
NeuralNet,"{'n_hidden': 50, 'n_layers': 3, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.2, 'n_epochs': 20, 'batch_size': 175}",0.4968611681661701,0.5319643909550544
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.8, 'n_epochs': 68, 'batch_size': 200}",0.695055978245147,0.6480039703464747
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.8, 'n_epochs': 68, 'batch_size': 200}",0.7189226719125178,0.706597599181116
NeuralNet,"{'n_hidden': 50, 'n_layers': 1, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.8, 'n_epochs': 68, 'batch_size': 200}",0.7285272080307807,0.6699339309531933
NeuralNet,"{'n_hidden': 232, 'n_layers': 3, 'learning_rate': 0.002304927738679968, 'dropout_prob': 0.5648625537009941, 'n_epochs': 100, 'batch_size': 200}",0.7137732519454971,0.7237817550172151
NeuralNet,"{'n_hidden': 232, 'n_layers': 3, 'learning_rate': 0.002304927738679968, 'dropout_prob': 0.5648625537009941, 'n_epochs': 100, 'batch_size': 200}",0.6887783145774872,0.685350041874748
NeuralNet,"{'n_hidden': 232, 'n_layers': 3, 'learning_rate': 0.002304927738679968, 'dropout_prob': 0.5648625537009941, 'n_epochs': 100, 'batch_size': 200}",0.7130500188040616,0.6641955395638822
NeuralNet,"{'n_hidden': 74, 'n_layers': 1, 'learning_rate': 0.49999999999999994, 'dropout_prob': 0.8, 'n_epochs': 86, 'batch_size': 200}",0.6876211415511904,0.6377058841775488
